name,country,comp,bpa,average
Feliks Zemdegs,Australia,TurnAroundTassie2020,8.5,9.68
Feliks Zemdegs,Australia,HorshamWinter2018,8.57,10.23
Max Park,USA,Missoula2021,8.76,9.34
Max Park,USA,WCCTReno2018,8.95,9.47
Max Park,USA,BerkeleySummer2018,8.97,9.42
Patrick Ponce,USA,WC2019,9.05,9.5
Luke Garrett,USA,BulldogWinter2022,9.1,10.01
Feliks Zemdegs,Australia,SydneyReOpenSaturday2021,9.12,10.74
Dwyane Ramos,New Zealand,LytteltonSpring2021,9.14,9.53
Max Park,USA,BayAreaSpeedcubin202019,9.15,10.28
Max Park,USA,SanDiegoSummer2019,9.17,9.71
Max Park,USA,LasVegasSpring2019,9.17,10.8
Kian Mansour,Canada,NationalCapitalRegion2018,9.19,9.54
Max Park,USA,WC2019,9.19,9.99
Patrick Ponce,USA,LongIslandWinter2019,9.19,10.51
Max Park,USA,BayAreaSpeedcubin202019,9.21,10.68
Luke Garrett,USA,WelcomeBackWisconsin22021,9.3,10.23
Patrick Ponce,USA,LibertyScienceCenterOpen2019,9.36,9.84
Max Park,USA,TheLastFrontierOpen2019,9.39,9.8
Feliks Zemdegs,Australia,LatinAmericaCubingTourGuatem2017,9.4,11.17
